4;6331;0809999800061;2022,3,25,10,00,00;2022,3,25,11,00,00;123;0
6;6331;0809999800061;2022,05,25,10,00,00;0001,01,01,11,00,00;123;0
6;6331;0809999800061;2021,04,25,10,00,00;2021,04,25,11,00,00;123;0
8;0501;1243999081010;2021,4,22,10,00,00;2021,4,22,11,00,00;123;0
9;0501;1243999081010;2021,4,23,8,00,00;2021,4,23,9,00,00;123;0
10;0501;1243999081010;2021,4,23,9,00,00;2021,4,23,10,00,00;123;0
12;0501;1243999081010;2021,4,23,11,00,00;2021,4,23,12,00,00;123;0
13;0501;1243999081010;2021,4,23,12,00,00;2021,4,23,13,00,00;123;0
14;0501;1243999081010;2021,4,23,13,00,00;2021,4,23,14,00,00;123;0
15;0501;1243999081010;2021,4,23,14,00,00;2021,4,23,15,00,00;123;0
16;0501;1243999081010;2021,4,23,15,00,00;2021,4,23,16,00,00;123;0
17;0501;1243999081010;2021,4,23,16,00,00;2021,4,23,17,00,00;123;0
18;0501;1243999081010;2021,4,23,17,00,00;2021,4,23,18,00,00;123;0
19;0501;1243999081010;2021,4,23,18,00,00;2021,4,23,19,00,00;123;0
20;0501;1243999081010;2021,4,23,19,00,00;2021,4,23,20,00,00;123;0
21;6331;0809999800061;2021,4,23,16,00,00;2021,4,23,17,00,00;123;0
1;0501;1243999081010;2022,12,25,10,00,00;2022,12,25,11,00,00;123;0
2;0501;0809999800061;2022,01,25,10,00,00;2022,01,25,11,00,00;3456456;0
714;Darko;080999980061;2021,12,12,09,12,00;2021,12,12,10,12,00;123;1
5;6331;1243999081010;2022,04,26,12,00,00;0001,01,01,12,00,00;;0
6;6331;1243999081010;2021,04,23,08,00,00;2021,04,23,09,00,00;;0
11;0501;1243999081010;2025,04,23,10,00,00;2025,04,23,11,00,00;3456456;0
878;0501;0809999800061;2026,05,21,12,12,00;2026,05,21,01,12,00;123;1
598;0501;1243999081010;2021,06,17,09,00,00;2021,06,17,09,30,00;1;0
